Entidad Federativa,Capital,Municipio Capital
Aguascalientes,Aguascalientes,Aguascalientes
Baja California,Mexicali,Mexicali
Baja California Sur,La Paz,La Paz
Campeche,San Francisco Campeche,Campeche
Chiapas,Tuxtla Gutiérrez,Tuxtla Gutiérrez
Chihuahua,Chihuahua,Chihuahua
Ciudad de México,Ciudad de México,Ciudad de México
Coahuila,Saltillo,Saltillo
Colima,Colima,Colima
Durango,Durango,Durango
Guanajuato,Guanajuato,Guanajuato
Guerrero,Chilpancingo,Chilpancingo de los Bravo
Hidalgo,Pachuca,Pachuca de Soto
Jalisco,Guadalajara,Guadalajara
México,Toluca,Toluca
Michoacán,Morelia,Morelia
Morelos,Cuernavaca,Cuernavaca
Nayarit,Tepic,Tepic
Nuevo León,Monterrey,Monterrey
Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez
Puebla,Puebla,Puebla
Querétaro,Querétaro,Querétaro
Quintana Roo,Chetumal,Othón P. Blanco
San Luis Potosí,San Luis Potosí,San Luis Potosí
Sinaloa,Culiacán,Culiacán
Sonora,Hermosillo,Hermosillo
Tabasco,Villahermosa,Centro
Tamaulipas,Ciudad Victoria,Victoria
Tlaxcala,Tlaxcala,Tlaxcala
Veracruz,Xalapa,Xalapa
Yucatán,Mérida,Mérida
Zacatecas,Zacatecas,Zacatecas